#    Series A    Series B
      1.0000      1.0000
      1.0600      1.0408
      1.1381      1.0833
      1.2285      1.1275
      1.3909      1.1735
      1.4792      1.2214
      1.5261      1.2712
      1.5569      1.3231
      1.6235      1.3771
      1.7382      1.4333
      1.8373      1.4918
      1.9267      1.5527
      1.9874      1.6160
      2.0209      1.6820
      2.0995      1.7506
      2.2108      1.8220
      2.3153      1.8964
      2.3174      1.9738
      2.3225      2.0543
      2.5001      2.1381
      2.6387      2.2254
      2.7587      2.3161
      2.8688      2.4106
      3.0319      2.5090
      3.1588      2.6114
      3.1843      2.7179
      3.1841      2.8288
      3.2581      2.9442
      3.3765      3.0643
      3.4417      3.1893
      3.5794      3.3194
      3.7699      3.4548
      3.9127      3.5957
      4.0542      3.7424
      4.2946      3.8950
      4.4868      4.0539
      4.6465      4.2192
      4.7906      4.3913
      4.8554      4.5704
      5.0400      4.7568
      5.5033      4.9508
      5.9577      5.1527
      6.3604      5.3628
      6.5562      5.5815
      6.6665      5.8091
      7.0202      6.0459
      7.2280      6.2924
      7.2942      6.5489
      7.5960      6.8159
      7.7911      7.0938
      7.8125      7.3829
      7.9874      7.6838
      8.2427      7.9970
      8.6511      8.3229
      9.1427      8.6621
      9.7214      9.0151
     10.5114      9.3824
     11.2268      9.7647
     11.6054     10.1625
     11.7667     10.5765
     12.3133     11.0074
     13.3043     11.4557
     14.8407     11.9223
     16.0542     12.4078
     16.6086     12.9130
     17.3011     13.4388
     17.9959     13.9859
     18.0880     14.5553
     18.8200     15.1477
     20.1827     15.7642
     20.3891     16.4057
     20.7522     17.0733
     23.3310     17.7679
     25.1250     18.4906
     25.4100     19.2427
     26.1377     20.0252
     24.9384     20.8394
     25.3661     21.6867
     26.3556     22.5682
     27.0726     23.4853
     27.8807     24.4396
     29.2071     25.4325
     31.6511     26.4655
     34.3512     27.5403
     34.9759     28.6585
     34.9136     29.8218
     36.3590     31.0321
     38.1680     32.2912
     39.3944     33.6011
     43.9860     34.9637
     47.6316     36.3813
     53.5875     37.8559
     56.4314     39.3899
     57.9920     40.9855
     57.0359     42.6453
     57.2333     44.3717
     61.8883     46.1675
     66.3840     48.0352
     70.2009     49.9779
     72.2181     51.9983
     79.2340     54.0996
     80.1708     56.2850
     84.2560     58.5576
     79.3652     60.9210
     75.6038     63.3787
     84.2425     65.9343
     82.8506     68.5917
     86.4217     71.3548
     95.8708     74.2277
    102.4268     77.2146
    105.0014     80.3199
    110.5748     83.5482
    116.2544     86.9041
    119.6470     90.3927
    115.4107     94.0189
    128.4325     97.7879
    133.6844    101.7052
    137.1195    105.7764
    122.2949    110.0074
    131.1342    114.4040
    132.5463    118.9725
    136.8407    123.7194
    143.2519    128.6512
    148.9067    133.7749
    137.5056    139.0974
    141.2544    144.6262
    160.8416    150.3688
    156.8632    156.3329
    171.0110    162.5266
    172.3831    168.9582
    170.7722    175.6363
    166.8570    182.5697
    176.1227    189.7674
    199.3135    197.2388
    205.4507    204.9936
    210.2767    213.0416
    224.0170    221.3931
    226.1804    230.0586
    228.7727    239.0488
    242.8407    248.3747
    222.1788    258.0478
    207.9522    268.0797
    181.1538    278.4824
    178.8784    289.2682
    198.1613    300.4496
    215.8125    312.0394
    243.7371    324.0509
    256.1710    336.4975
    247.6902    349.3929
    267.4328    362.7513
    290.9906    376.5869
    342.5190    390.9145
    407.2167    405.7489
    476.6031    421.1052
    514.6863    436.9991
    509.7219    453.4461
    450.6780    470.4623
    445.7366    488.0639
    464.2611    506.2672
    461.7100    525.0891
    501.9536    544.5463
    542.4040    564.6559
    564.4909    585.4351
    590.9906    606.9014
    587.6580    629.0722
    629.5105    651.9654
    642.9327    675.5985
    656.4698    699.9896
    651.6433    725.1566
    696.6215    751.1173
    714.4794    777.8899
    732.7281    805.4923
    777.5454    833.9426
    811.3997    863.2585
    858.1935    893.4581
    913.9738    924.5589
    974.2358    956.5788
   1000.9653    989.5350
   1050.1034   1023.4449
   1083.0843   1058.3256
   1085.2678   1094.1939
   1121.0296   1131.0664
   1180.0276   1168.9594
   1246.6330   1207.8887
   1240.1747   1247.8701
   1237.7385   1288.9188
   1304.3898   1331.0496
   1364.5139   1374.2769
   1440.4045   1418.6149
   1486.1411   1464.0768
   1482.5098   1510.6759
   1520.9607   1558.4246
   1491.9099   1607.3348
   1561.0205   1657.4182
   1674.3277   1708.6854
   1745.2999   1761.1469
   1806.5962   1814.8123
   1869.1335   1869.6907
   1947.7132   1925.7907
   2019.3978   1983.1200
   2058.1476   2041.6859
   2056.6307   2101.4949
   2129.7633   2162.5531
   2188.2326   2224.8658
   2276.5801   2288.4374
   2338.4969   2353.2722
   2427.2581   2419.3733
   2536.1756   2486.7436
   2649.0232   2555.3850
   2773.1326   2625.2992
   2886.6238   2696.4868
   2914.7782   2768.9481
   2966.8582   2842.6827
   3050.1264   2917.6897
   3165.5941   2993.9674
   3271.4778   3071.5138
   3358.7221   3150.3262
   3418.4555   3230.4014
   3408.5038   3311.7355
   3313.8819   3394.3246
   3397.7936   3478.1637
   3452.2179   3563.2477
   3528.9818   3649.5710
   3588.1866   3737.1275
   3673.2475   3825.9108
   3768.6049   3915.9140
   3829.4875   4007.1297
