# data for galaxies: type (Spiral vs. Elliptical), velocity (km/s) and distance (Mpc)
#     type     V          D 
         S    28.78   2020.4
         S    13.52    972.6
         S     7.26    516.1
         S    20.87   1521.0
         S    20.22   1344.6
         S     7.69    615.4
         S    13.91    807.3
         S    17.30   1029.4
         E    11.17    774.0
         E    12.20    864.9
         E    12.31    607.1
         E     6.32    330.7
         S    23.89   1658.7
         E     5.97    328.1
         S    20.08   1374.5
         E     7.34    718.7
         E    20.24   1416.3
         E    22.57   1581.1
         E    27.82   2028.9
         E    27.16   1980.4
         S    23.64   1751.7
         E     6.33    260.6
         E    17.50   1191.1
         S    28.41   2119.8
         E    20.91   1618.2
         S     6.66    626.7
         S     9.44    694.5
         S    13.84   1023.1
         S     8.62    747.1
         S    28.71   1965.6
         E    16.81   1154.6
         S    25.62   1890.1
         S    17.94   1243.2
         E    16.90   1334.6
         S    11.26    928.4
         S    22.11   1632.9
         E     9.63    513.4
         E    12.49    791.0
         S     4.93    298.8
         S     5.13    364.6
